method,documents,dimensions,query,repetition,top_k,recall,request_ms,elapsed_ms,nodes,random_nodes,bitplane_words,documents_scored,leaf_words,peak_mask_bytes,key_attempts,keys_generated,peak_key_queue_bytes,stop_reason
branch,65,256,4,1,65,1.0,0.012875068932771683,0.011042,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,5,1,65,1.0,0.01279124990105629,0.010833,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,6,1,65,1.0,0.012665987014770508,0.010791,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,7,1,65,1.0,0.012249685823917389,0.0105,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,0,2,65,1.0,0.01195911318063736,0.010166,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,1,2,65,1.0,0.011875294148921967,0.01,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,2,2,65,1.0,0.011958181858062744,0.010167,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,3,2,65,1.0,0.011916738003492355,0.010125,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,4,2,65,1.0,0.012165866792201996,0.010375,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,5,2,65,1.0,0.012208707630634308,0.010375,5,0,4,65,6,48,0,0,0,exhausted
branch,65,256,6,2,65,1.0,0.012083910405635834,0.01025,5,0,4,65,6,64,0,0,0,exhausted
branch,65,256,7,2,65,1.0,0.011916738003492355,0.010125,5,0,4,65,6,64,0,0,0,exhausted
keys,65,256,0,0,65,1.0,0.015459023416042328,0.012625,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,1,0,65,1.0,0.019583851099014282,0.017042,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,2,0,65,1.0,0.018499791622161865,0.016458,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,3,0,65,1.0,0.018416903913021088,0.0165,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,4,0,65,1.0,0.018666964024305344,0.016917,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,5,0,65,1.0,0.0177919864654541,0.016,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,6,0,65,1.0,0.018125399947166443,0.016416,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,7,0,65,1.0,0.01762527972459793,0.015875,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,0,1,65,1.0,0.013541895896196365,0.011708,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,1,1,65,1.0,0.014875084161758423,0.013,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,2,1,65,1.0,0.014082994312047958,0.012375,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,3,1,65,1.0,0.014082994312047958,0.012459,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,4,1,65,1.0,0.013415701687335968,0.011625,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,5,1,65,1.0,0.01333281397819519,0.011541,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,6,1,65,1.0,0.013083219528198242,0.011375,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,7,1,65,1.0,0.012417323887348175,0.010708,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,0,2,65,1.0,0.011416152119636536,0.009625,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,1,2,65,1.0,0.01183338463306427,0.010125,0,0,0,65,0,0,256,256,1024,exhausted
keys,65,256,2,2,65,1.0,0.01095794141292572,0.009292,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,3,2,65,1.0,0.011084135621786118,0.009375,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,4,2,65,1.0,0.01095794141292572,0.009208,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,5,2,65,1.0,0.011042226105928421,0.009041,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,6,2,65,1.0,0.01091696321964264,0.009125,0,0,0,65,0,0,256,256,2048,exhausted
keys,65,256,7,2,65,1.0,0.01070881262421608,0.008917,0,0,0,65,0,0,256,256,2048,exhausted
scan,1024,256,0,0,100,1.0,0.04529207944869995,0.0425,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,1,0,100,1.0,0.04800036549568176,0.044875,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,2,0,100,1.0,0.046708155423402786,0.044583,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,3,0,100,1.0,0.045832712203264236,0.043958,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,4,0,100,1.0,0.046084169298410416,0.04425,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,5,0,100,1.0,0.045625027269124985,0.043959,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,6,0,100,1.0,0.04545925185084343,0.043625,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,7,0,100,1.0,0.045208726078271866,0.043583,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,0,1,100,1.0,0.04462478682398796,0.042917,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,1,1,100,1.0,0.0449158251285553,0.04325,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,2,1,100,1.0,0.04424992948770523,0.042584,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,3,1,100,1.0,0.04441710188984871,0.042791,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,4,1,100,1.0,0.04462525248527527,0.043041,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,5,1,100,1.0,0.043832696974277496,0.04225,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,6,1,100,1.0,0.04358310252428055,0.041958,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,7,1,100,1.0,0.04400033503770828,0.042209,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,0,2,100,1.0,0.04366692155599594,0.041958,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,1,2,100,1.0,0.04400033503770828,0.042375,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,2,2,100,1.0,0.04374980926513672,0.042167,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,3,2,100,1.0,0.04391605034470558,0.042292,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,4,2,100,1.0,0.044040847569704056,0.042416,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,5,2,100,1.0,0.043665990233421326,0.042083,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,6,2,100,1.0,0.04333304241299629,0.041708,0,0,0,1024,0,0,0,0,0,exhausted
scan,1024,256,7,2,100,1.0,0.04345923662185669,0.04175,0,0,0,1024,0,0,0,0,0,exhausted
branch,1024,256,0,0,100,1.0,0.053958967328071594,0.051,93,0,736,1024,752,2176,0,0,0,exhausted
branch,1024,256,1,0,100,1.0,0.05845818668603897,0.055625,85,0,672,1024,688,1920,0,0,0,exhausted
branch,1024,256,2,0,100,1.0,0.05812477320432663,0.055709,87,0,688,1024,704,1920,0,0,0,exhausted
branch,1024,256,3,0,100,1.0,0.05733408033847809,0.055084,93,0,736,1024,752,2304,0,0,0,exhausted
branch,1024,256,4,0,100,1.0,0.053791794925928116,0.05175,85,0,672,1024,688,1792,0,0,0,exhausted
branch,1024,256,5,0,100,1.0,0.05641719326376915,0.054375,93,0,736,1024,752,2048,0,0,0,exhausted
branch,1024,256,6,0,100,1.0,0.056374818086624146,0.054042,91,0,720,1024,736,1920,0,0,0,exhausted
branch,1024,256,7,0,100,1.0,0.053042080253362656,0.051125,89,0,704,1024,720,1920,0,0,0,exhausted
branch,1024,256,0,1,100,1.0,0.050833914428949356,0.048917,93,0,736,1024,752,2176,0,0,0,exhausted
branch,1024,256,1,1,100,1.0,0.05241669714450836,0.050583,85,0,672,1024,688,1920,0,0,0,exhausted
branch,1024,256,2,1,100,1.0,0.05137501284480095,0.049541,87,0,688,1024,704,1920,0,0,0,exhausted
branch,1024,256,3,1,100,1.0,0.052916817367076874,0.051167,93,0,736,1024,752,2304,0,0,0,exhausted
branch,1024,256,4,1,100,1.0,0.05137501284480095,0.049542,85,0,672,1024,688,1792,0,0,0,exhausted
branch,1024,256,5,1,100,1.0,0.05187466740608215,0.049959,93,0,736,1024,752,2048,0,0,0,exhausted
branch,1024,256,6,1,100,1.0,0.051291193813085556,0.04925,91,0,720,1024,736,1920,0,0,0,exhausted
branch,1024,256,7,1,100,1.0,0.050957780331373215,0.049083,89,0,704,1024,720,1920,0,0,0,exhausted
branch,1024,256,0,2,100,1.0,0.049999915063381195,0.048208,93,0,736,1024,752,2176,0,0,0,exhausted
branch,1024,256,1,2,100,1.0,0.05116686224937439,0.04925,85,0,672,1024,688,1920,0,0,0,exhausted
branch,1024,256,2,2,100,1.0,0.05033286288380623,0.048458,87,0,688,1024,704,1920,0,0,0,exhausted
branch,1024,256,3,2,100,1.0,0.0516669824719429,0.049792,93,0,736,1024,752,2304,0,0,0,exhausted
branch,1024,256,4,2,100,1.0,0.05024997517466545,0.048416,85,0,672,1024,688,1792,0,0,0,exhausted
branch,1024,256,5,2,100,1.0,0.0511673279106617,0.049334,93,0,736,1024,752,2048,0,0,0,exhausted
branch,1024,256,6,2,100,1.0,0.05054101347923279,0.048667,91,0,720,1024,736,1920,0,0,0,exhausted
branch,1024,256,7,2,100,1.0,0.050333328545093536,0.048458,89,0,704,1024,720,1920,0,0,0,exhausted
keys,1024,256,0,0,100,1.0,0.049250200390815735,0.046542,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,1,0,100,1.0,0.05724979564547539,0.054625,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,2,0,100,1.0,0.05433289334177971,0.052417,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,3,0,100,1.0,0.05308305844664574,0.051083,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,4,0,100,1.0,0.05087489262223244,0.049209,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,5,0,100,1.0,0.051666051149368286,0.049833,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,6,0,100,1.0,0.05308305844664574,0.050542,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,7,0,100,1.0,0.052582938224077225,0.050375,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,0,1,100,1.0,0.049625057727098465,0.047875,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,1,1,100,1.0,0.04991702735424042,0.048291,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,2,1,100,1.0,0.05133310332894325,0.049584,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,3,1,100,1.0,0.05075009539723396,0.049,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,4,1,100,1.0,0.048916786909103394,0.04725,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,5,1,100,1.0,0.04929210990667343,0.047625,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,6,1,100,1.0,0.050041358917951584,0.048292,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,7,1,100,1.0,0.04941597580909729,0.047834,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,0,2,100,1.0,0.04820898175239563,0.046583,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,1,2,100,1.0,0.0488748773932457,0.04725,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,2,2,100,1.0,0.05033286288380623,0.048625,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,3,2,100,1.0,0.04975032061338425,0.048042,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,4,2,100,1.0,0.04770839586853981,0.046084,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,5,2,100,1.0,0.04854099825024605,0.046917,0,0,0,1024,0,0,256,256,2048,exhausted
keys,1024,256,6,2,100,1.0,0.04954123869538307,0.047833,0,0,0,1024,0,0,256,256,1024,exhausted
keys,1024,256,7,2,100,1.0,0.048582907766103745,0.046958,0,0,0,1024,0,0,256,256,2048,exhausted
scan,16384,256,0,0,100,1.0,0.45504188165068626,0.451583,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,1,0,100,1.0,0.45516621321439743,0.450208,0,0,0,16384,0,0,0,0,0,exhausted
