query_id,float_reference_ndcg,float_reference_precision,float_reference_recall
6525,0.46927872602275644,0.1,0.3333333333333333
2590,0.46927872602275644,0.1,0.3333333333333333
3781,0.6934264036172708,0.2,1.0
5374,0.0,0.0,0.0
1310,1.0,0.1,1.0
8005,0.0,0.0,0.0
2994,0.20210734650054757,0.1,0.3333333333333333
6142,0.6131471927654584,0.1,0.5
3125,1.0,0.1,1.0
8832,1.0,0.1,1.0
3683,0.6924048374257172,0.4,0.6666666666666666
939,0.6309297535714575,0.1,1.0
7206,0.0,0.0,0.0
10246,0.0,0.0,0.0
5241,0.5531464700081437,0.2,0.4
8121,1.0,0.1,1.0
98,0.6131471927654584,0.1,0.5
5064,0.6131471927654584,0.1,0.5
4615,0.6887841483036674,0.4,0.6666666666666666
7467,0.6309297535714575,0.1,1.0
1676,0.6542448095688422,0.3,0.75
503,0.0,0.0,0.0
3264,0.6366824387328317,0.2,0.5
6467,0.0,0.0,0.0
4289,0.6131471927654584,0.1,0.5
4394,0.0,0.0,0.0
4047,0.787702056960637,0.3,0.75
1815,1.0,0.1,1.0
7218,0.43067655807339306,0.1,1.0
8982,0.0,0.0,0.0
8874,0.0,0.0,0.0
549,1.0,0.1,1.0
2407,0.0,0.0,0.0
8937,0.38685280723454163,0.1,1.0
7344,0.38685280723454163,0.1,0.5
2856,0.6542448095688422,0.3,0.75
7801,0.6131471927654584,0.1,0.5
2395,0.0,0.0,0.0
6875,0.0,0.0,0.0
6891,0.46927872602275644,0.1,0.3333333333333333
7702,0.41183384043543503,0.2,1.0
2695,1.0,0.1,1.0
5616,0.0,0.0,0.0
928,0.8175295903539445,0.2,1.0
10447,0.15642624200758548,0.1,0.3333333333333333
5427,0.0,0.0,0.0
2587,0.6309297535714575,0.1,1.0
5782,0.3391602052736161,0.1,0.2
9871,0.0,0.0,0.0
6668,0.18457569677956817,0.1,0.5
1284,0.6309297535714575,0.1,1.0
2443,0.31546487678572877,0.1,1.0
3179,0.6131471927654584,0.1,0.5
3404,0.31086582344538494,0.2,0.2857142857142857
3453,0.38685280723454163,0.1,0.5
5045,0.0,0.0,0.0
5808,0.6309297535714575,0.1,1.0
4845,0.7653606369886217,0.2,0.6666666666666666
3625,0.46927872602275644,0.1,0.3333333333333333
6679,0.5307212739772434,0.2,0.6666666666666666
6005,0.49828993591603105,0.4,0.3076923076923077
8544,0.38685280723454163,0.1,0.5
4464,0.2890648263178879,0.1,1.0
3822,0.24630238874073,0.1,0.25
7879,0.0,0.0,0.0
3115,0.45390362024822023,0.2,0.3333333333333333
8512,0.0,0.0,0.0
3995,0.11305340175787204,0.1,0.2
559,0.0,0.0,0.0
3791,0.23463936301137822,0.1,0.3333333333333333
8002,0.6508205185601091,0.2,0.6666666666666666
4179,0.0,0.0,0.0
2891,1.0,0.1,1.0
853,0.0,0.0,0.0
10136,0.18154179253735267,0.1,0.3333333333333333
8635,0.0,0.0,0.0
2513,0.43067655807339306,0.1,1.0
5206,0.0,0.0,0.0
8959,0.0,0.0,0.0
4433,0.0,0.0,0.0
4188,0.0,0.0,0.0
2713,0.0,0.0,0.0
9060,0.6131471927654584,0.1,0.5
7098,0.6131471927654584,0.1,0.5
10628,0.31546487678572877,0.1,1.0
6683,0.20438239758848611,0.1,0.5
10183,0.20438239758848611,0.1,0.5
3829,0.0,0.0,0.0
5585,0.0,0.0,0.0
4105,0.0,0.0,0.0
1074,1.0,0.1,1.0
2465,0.0,0.0,0.0
4640,0.0,0.0,0.0
9275,0.0,0.0,0.0
10497,0.5174612499126158,0.4,0.4
9481,0.6934264036172708,0.2,1.0
3500,0.43292617940918415,0.2,0.3333333333333333
4205,0.2960819109658652,0.1,0.3333333333333333
1306,0.19519002499605084,0.1,0.25
1826,1.0,0.4,1.0
6262,0.7653606369886217,0.2,0.6666666666666666
5347,1.0,0.1,1.0
4500,0.0,0.0,0.0
3615,0.9197207891481876,0.2,1.0
8632,0.6131471927654584,0.1,0.5
9979,0.3903800499921017,0.1,0.25
9617,0.6713860725233041,0.2,0.6666666666666666
1948,1.0,0.1,1.0
6133,0.3065735963827292,0.1,0.5
9737,0.7653606369886217,0.2,0.6666666666666666
3771,0.30798345931689824,0.2,0.3333333333333333
1736,0.21398626473452756,0.1,0.2
5255,0.9134015924715543,0.3,1.0
5380,1.0,0.1,1.0
9188,0.6131471927654584,0.1,0.5
2051,0.0,0.0,0.0
5067,0.0,0.0,0.0
10414,0.8772153153380493,0.2,1.0
6814,0.0,0.0,0.0
6146,1.0,0.2,1.0
4756,0.0,0.0,0.0
7754,0.6309297535714575,0.1,1.0
2076,1.0,0.2,1.0
