method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00085,100,3,1,1000,1,True,True,0.57577,0.1319585007877322,0.1863916504589724,130.70853101453395,0.1319585007877322,0.1319585007877322,0.1319585007877322,10465840,77479936,13899.975,36.441,3193.936,1921.194,0.0,0.0,0.0,0,42,2048,8192,False,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00202,100,23,1,1000,1,True,True,0.07878,0.041125000279862434,0.05196219899517018,42.127927066758275,0.041125000279862434,0.041125000279862434,0.041125000279862434,10458620,74760192,201.082,0.0,0.0,0.0,19.068,877.128,13.932,,,,,,32,100
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00144,1,16,1,1000,1,True,True,0.953,0.6367919995682314,0.7073749986375333,632.7351350191748,0.6367919995682314,0.6367919995682314,0.6367919995682314,10458620,74760192,133314.713,0.0,0.0,0.0,2.0,32.0,0.0,,,,,,1,261465
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00186,100,9,1,1000,1,True,True,0.45252,0.10929200107057113,0.19854615220538108,111.3266329630278,0.10929200107057113,0.10929200107057113,0.10929200107057113,10458620,74760192,15269.265,0.0,0.0,0.0,1.051,18.918,3.949,,,,,,4,100
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00271,1,353,1,1000,1,True,True,0.995,1.0311040005035466,1.092264600447379,1032.0688559695554,1.0311040005035466,1.0311040005035466,1.0311040005035466,10587184,81166336,180821.831,353.0,0.0,2997.561,0.0,0.0,0.0,0,42,2048,8192,False,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00288,100,133,1,1000,1,True,True,0.90029,0.47143750089162495,0.7041562492304365,474.06637102903915,0.47143750089162495,0.47143750089162495,0.47143750089162495,10587184,81166336,26591.849,1362.323,8212.756,3986.14,0.0,0.0,0.0,0,42,128,8192,True,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00254,1,125,1,1000,1,True,True,0.95,0.3313745019113412,0.4409898996527772,341.56961095141014,0.3313745019113412,0.3313745019113412,0.3313745019113412,10587184,81166336,638.932,1486.607,11725.087,1155.069,0.0,0.0,0.0,0,42,8,8192,True,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00381,100,133,1,1000,1,True,True,0.90029,0.4084585016244091,0.4415566007082816,409.03952203370864,0.4084585016244091,0.4084585016244091,0.4084585016244091,10458620,76709888,68494.75,0.0,0.0,0.0,2.0,266.0,0.0,,,,,,1,261465
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00318,1,30,1,1000,1,True,True,0.806,0.09189599768433254,0.10350209868192906,91.46512097868253,0.09189599768433254,0.09189599768433254,0.09189599768433254,10458620,76709888,15645.096,0.0,0.0,0.0,2.0,60.0,0.0,,,,,,1,261465
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00360,1,353,1,1000,1,True,True,0.742,0.27358300030755345,0.42196635040454566,265.0346270056616,0.27358300030755345,0.27358300030755345,0.27358300030755345,10458620,76709888,33097.102,0.0,0.0,0.0,1.011,713.766,3.989,,,,,,4,100
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00494,100,1724,1,1000,1,True,True,0.69193,2.04427099924942,2.148557699729281,2049.623362006969,2.04427099924942,2.04427099924942,2.04427099924942,10969392,78774272,4266.111,8191.147,18459.559,2314.18,0.0,0.0,0.0,0,42,8,8192,True,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00490,100,1398,1,1000,1,True,True,0.80998,2.0064994987478713,2.0864645986875985,1966.5910749608884,2.0064994987478713,2.0064994987478713,2.0064994987478713,10969392,78774272,26876.637,7920.353,16319.488,4108.386,0.0,0.0,0.0,0,42,32,8192,False,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00488,100,1398,1,1000,1,True,True,0.71526,1.9708960007847054,2.048402097898361,1973.537527006556,1.9708960007847054,1.9708960007847054,1.9708960007847054,10969392,78774272,4360.714,8183.455,18395.893,2371.976,0.0,0.0,0.0,0,42,8,8192,True,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00547,1,1136,1,1000,1,True,True,0.806,0.5324584999470972,0.7687722507398568,547.1299130440457,0.5324584999470972,0.5324584999470972,0.5324584999470972,10458620,76120064,32837.636,0.0,0.0,0.0,1.338,3039.936,3.662,,,,,,4,10000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00512,1,65,1,1000,1,True,True,0.639,0.07091649786161724,0.09231700059899592,73.60639291073312,0.07091649786161724,0.07091649786161724,0.07091649786161724,10458620,76120064,1918.338,0.0,0.0,0.0,12.018,1562.34,4.982,,,,,,16,1000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00576,100,411,1,1000,1,True,True,0.00825,0.24089600083243567,0.3179271010594675,241.00383996847086,0.24089600083243567,0.24089600083243567,0.24089600083243567,10458620,76120064,2.396,0.0,0.0,0.0,9.61,7899.42,23.39,,,,,,32,1
prefix,1,,main-s00022,1,1,1,1000,1,True,True,0.774,0.35600049886852503,0.6367603989929194,361.78496502543567,0.35600049886852503,0.35600049886852503,0.35600049886852503,10458620,72089600,76096.347,0.0,0.0,0.0,1.096,2.192,3.904,,,,,,4,1000
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00103,100,23,1,1000,1,True,True,0.95488,0.48087499999383,0.9261580011298064,517.401833069016,0.48087499999383,0.48087499999383,0.48087499999383,10465840,77479936,69120.035,186.712,16718.674,8645.24,0.0,0.0,0.0,0,42,2048,8192,False,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00107,100,38,1,1000,1,True,True,0.99016,0.6568329990841448,1.4931083529518214,728.8333110736858,0.6568329990841448,0.6568329990841448,0.6568329990841448,10465840,77479936,6950.563,1756.046,177332.89,53946.093,0.0,0.0,0.0,0,42,32,8192,True,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00065,1,16,1,1000,1,True,True,0.953,0.07616700168000534,0.11651874938252148,80.88681295339484,0.07616700168000534,0.07616700168000534,0.07616700168000534,10465840,77479936,397.619,230.27,27659.541,2817.207,0.0,0.0,0.0,0,42,32,8192,True,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00162,1,38,1,1000,1,True,True,0.995,1.4866459987388225,1.5828669997063116,1502.7627449599095,1.4866459987388225,1.4866459987388225,1.4866459987388225,10458620,74530816,311976.533,0.0,0.0,0.0,2.0,76.0,0.0,,,,,,1,261465
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00146,1,16,1,1000,1,True,True,0.531,0.025749999622348696,0.0641860497125888,34.599499915202614,0.025749999622348696,0.025749999622348696,0.025749999622348696,10458620,74530816,3404.016,0.0,0.0,0.0,8.42,269.44,8.58,,,,,,16,1000
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00184,100,9,1,1000,1,True,True,0.09044,0.026208499548374675,0.033586051176826004,28.54706398284179,0.026208499548374675,0.026208499548374675,0.026208499548374675,10458620,74530816,500.212,0.0,0.0,0.0,20.365,366.57,12.635,,,,,,32,100
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00241,1,4,1,1000,1,True,True,0.537,0.021624999135383405,0.02542115071264561,21.797508001327515,0.021624999135383405,0.021624999135383405,0.021624999135383405,10587184,80969728,2160.308,4.0,0.0,35.746,0.0,0.0,0.0,0,42,2048,8192,False,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00240,1,4,1,1000,1,True,True,0.537,0.018791999536915682,0.023504200544266492,19.203127012588084,0.018791999536915682,0.018791999536915682,0.018791999536915682,10587184,80969728,407.675,39.278,319.802,46.616,0.0,0.0,0.0,0,42,128,8192,True,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00251,1,65,1,1000,1,True,True,0.902,0.15556250036752317,0.20194405224174258,158.30476700284635,0.15556250036752317,0.15556250036752317,0.15556250036752317,10587184,80969728,1335.555,660.592,5173.087,626.045,0.0,0.0,0.0,0,42,32,8192,True,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00351,1,326,1,1000,1,True,True,0.738,0.25402100072824396,0.3877267479765578,244.77514201862505,0.25402100072824396,0.25402100072824396,0.25402100072824396,10458620,76382208,30994.09,0.0,0.0,0.0,1.014,661.128,3.986,,,,,,4,100
