query,top_k,query_l1,kth_score,gap,optimistic_min_depth
58,100,12.183646453951951,6.402776755625382,5.780869698326569,20
59,100,11.928950465924572,7.280969826329965,4.647980639594607,14
60,100,12.04128195913654,7.49332033374958,4.547961625386961,14
61,100,12.434757318347692,7.683243064209819,4.751514254137874,15
62,100,11.996067611893523,7.070850725212949,4.925216886680573,16
63,100,12.273644209722988,8.405920672928914,3.867723536794074,13
64,1,12.573783247229585,10.273364718035737,2.3004185291938484,7
65,1,12.20601787303167,10.359534475268447,1.8464833977632225,5
66,1,12.140683642224758,9.802576322152163,2.338107320072595,7
67,1,12.198917979258113,11.18036290735472,1.0185550719033927,3
68,1,11.862092780007515,10.12948724324815,1.7326055367593654,5
69,1,12.516917772067245,8.92029808316147,3.5966196889057755,11
70,1,11.577446047274861,8.881362940825056,2.696083106449805,7
71,1,12.407566333233262,8.299305909822579,4.108260423410684,14
72,1,11.963343406678177,10.872329628909938,1.0910137777682394,3
73,1,12.42138427188911,10.96378828860179,1.4575959832873195,4
74,1,12.627870481686841,10.409266296781425,2.2186041849054163,7
75,1,12.063590218880563,9.6499723111192,2.4136179077613633,7
76,1,11.92403601971455,10.528747405391186,1.3952886143233627,3
77,1,12.403852878705948,10.824539747889503,1.5793131308164448,5
78,1,12.298967521754093,8.970537928282283,3.32842959347181,11
79,1,12.503771906194743,10.731566878093872,1.7722050281008705,5
80,1,12.189124374061066,9.50749129626638,2.681633077794686,8
81,1,12.265272748394636,8.938610948825954,3.326661799568683,10
82,1,12.456744105285907,11.245225136670342,1.2115189686155645,4
83,1,11.916105430282187,10.13214260834502,1.7839628219371662,5
84,1,13.086644734401489,11.697767808364006,1.388876926037483,4
85,1,11.929925476229982,10.724558687972603,1.205366788257379,3
86,1,12.151189037656877,9.652844131283928,2.4983449063729495,7
87,1,12.50342912004271,10.380863962040166,2.122565158002544,7
88,1,12.514374077582033,11.3664539589372,1.1479201186448336,3
89,1,12.178552254976239,9.729417137103155,2.449135117873084,7
90,1,12.181682775320951,10.241580785426777,1.940101989894174,5
91,1,11.912412747566123,9.059128705936018,2.853284041630104,8
92,1,12.50480921388953,10.603624036622932,1.9011851772665977,5
93,1,12.18923980677937,10.210210155397363,1.9790296513820067,5
94,1,11.670534916833276,10.993281518021831,0.6772533988114446,2
95,1,12.481907787107048,11.205851627208176,1.2760561598988716,4
64,10,12.573783247229585,8.690045692237618,3.883737554991967,13
65,10,12.20601787303167,8.881691448375932,3.3243264246557374,10
66,10,12.140683642224758,8.039561281024362,4.101122361200396,13
67,10,12.198917979258113,7.4056507422355935,4.793267237022519,17
68,10,11.862092780007515,9.380779527535196,2.4813132524723187,7
69,10,12.516917772067245,8.073562067176681,4.443355704890564,14
