method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01945,30,87,1,1000,1,True,True,0.937,0.06912500248290598,0.07766910566715524,69.61081188637763,0.06912500248290598,0.06912500248290598,0.06912500248290598,8366896,78036992,11726.851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02053,50,101,1,1000,1,True,True,0.93772,0.08647899812785909,0.09650415668147616,86.9423488038592,0.08647899812785909,0.08647899812785909,0.08647899812785909,8366896,78036992,13602.891,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02055,50,483,1,1000,1,True,True,0.9959,0.3049375009140931,0.3314999928988982,305.87517241656315,0.3049375009140931,0.3049375009140931,0.3049375009140931,8366896,78036992,64540.657,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02052,50,67,1,1000,1,True,True,0.90092,0.06002050213282928,0.06837914697825909,60.779248058679514,0.06002050213282928,0.06002050213282928,0.06002050213282928,8366896,78036992,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02054,50,322,1,1000,1,True,True,0.99004,0.21441600983962417,0.233764604490716,215.06144294107798,0.21441600983962417,0.21441600983962417,0.21441600983962417,8366896,78036992,43157.822,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02162,75,354,1,1000,1,True,True,0.99004,0.23935450008139014,0.26859969657380134,241.27642100211233,0.23935450008139014,0.23935450008139014,0.23935450008139014,8366896,77692928,47413.069,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02161,75,113,1,1000,1,True,True,0.93812,0.09537499863654375,0.10746009211288765,96.15724087052513,0.09537499863654375,0.09537499863654375,0.09537499863654375,8366896,77692928,15209.922,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02163,75,531,1,1000,1,True,True,0.9959066666666667,0.33702049404382706,0.37008605286246166,338.2937320129713,0.33702049404382706,0.33702049404382706,0.33702049404382706,8366896,77692928,70905.702,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02160,75,75,1,1000,1,True,True,0.9016533333333333,0.06725000275764614,0.07675000233575702,68.06749681709334,0.06725000275764614,0.06725000275764614,0.06725000275764614,8366896,77692928,10123.537,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02268,100,82,1,1000,1,True,True,0.90087,0.0755420041969046,0.0861312510096468,76.59632393915672,0.0755420041969046,0.0755420041969046,0.0755420041969046,8366896,77611008,11059.047,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
