method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00506,1,4096,1,1000,1,True,True,0.426,3.486542000246118,4.868656249868763,3805.2309960125967,3.486542000246118,3.486542000246118,3.486542000246118,23008964,111493120,22304.981,0.0,0.0,0.0,10.715,87777.28,6.285,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00532,10,303,1,1000,1,True,True,0.99,2.0166249998965213,2.235179149988653,2028.7874529894907,2.0166249998965213,2.0166249998965213,2.0166249998965213,23008964,111493120,39600.397,0.0,0.0,0.0,17.0,9696.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00519,10,5,1,1000,1,True,True,0.8055,0.11608300019361195,0.13039375000971629,116.77866100581014,0.11608300019361195,0.11608300019361195,0.11608300019361195,23008964,111493120,723.5,0.0,0.0,0.0,17.0,160.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00521,10,17,1,1000,1,True,True,0.9004,0.1943544998539437,0.22240000023430181,195.60278299468337,0.1943544998539437,0.1943544998539437,0.1943544998539437,23008964,111493120,2354.693,0.0,0.0,0.0,17.0,544.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00517,10,5,1,1000,1,True,True,0.8055,0.11535400017237407,0.12847674984186594,115.98984901138465,0.11535400017237407,0.11535400017237407,0.11535400017237407,23008964,111493120,723.5,0.0,0.0,0.0,17.0,160.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00492,1,3,1,1000,1,True,True,0.915,0.09918799992192362,0.10954615024729719,99.88384099324321,0.09918799992192362,0.09918799992192362,0.09918799992192362,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00504,1,43,1,1000,1,True,True,0.99,0.36039599990544957,0.41368154998053797,361.416258007921,0.36039599990544957,0.36039599990544957,0.36039599990544957,23008964,111493120,5802.553,0.0,0.0,0.0,17.0,1376.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00541,100,3,1,1000,1,True,True,0.55271,0.11664550015666464,0.13050420006948116,117.34365799702573,0.11664550015666464,0.11664550015666464,0.11664550015666464,23008964,111493120,442.421,0.0,0.0,0.0,17.0,96.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00551,100,65,1,1000,1,True,True,0.90083,0.5302704998939589,0.5980732500802333,532.246873987333,0.5302704998939589,0.5302704998939589,0.5302704998939589,23008964,111493120,8688.526,0.0,0.0,0.0,17.0,2080.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00524,10,17,1,1000,1,True,True,0.9004,0.1935210000283405,0.2214579999417765,194.98944600218238,0.1935210000283405,0.1935210000283405,0.1935210000283405,23008964,111493120,2354.693,0.0,0.0,0.0,17.0,544.0,0.0,16,0,,,,
