setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
setting-079,keys,ivf,4096,1330,0,0,8,0.99,18.105895491316915,18.105895491316915,18.105895491316915,325353.42,0.0,0.0,340480.0,42797700,160972800,1,True
setting-095,keys,ivf,8192,127,0,0,8,0.8004,1.0229377076029778,1.0229377076029778,1.0229377076029778,15614.785,0.0,0.0,32512.0,44062680,172720128,1,True
setting-120,scan,ivf,8192,8192,0,0,0,1.0,28.045375598594546,28.045375598594546,28.045375598594546,1000000.0,0.0,0.0,0.0,40000000,190038016,1,True
setting-015,keys,ivf,256,12,0,0,8,0.8055,1.529291970655322,1.529291970655322,1.529291970655322,50005.31,0.0,0.0,3072.0,40425820,142049280,1,True
setting-096,scan,ivf,8192,353,0,0,0,0.9002,1.3671251945197582,1.3671251945197582,1.3671251945197582,42847.11,0.0,0.0,0.0,40000000,190939136,1,True
setting-011,branch,ivf,256,12,512,0,0,0.8055,1.8234795425087214,1.8234795425087214,1.8234795425087214,50005.31,25061.61,24062.455,0.0,72272384,179994624,1,True
setting-077,keys,ivf,4096,1330,0,0,1,0.99,9.430021047592163,9.430021047592163,9.430021047592163,325353.42,0.0,0.0,2660.0,40158080,152780800,1,True
setting-117,keys,ivf,8192,2440,0,0,1,0.99,9.290978778153658,9.290978778153658,9.290978778153658,295858.36,0.0,0.0,4880.0,40307400,161103872,1,True
setting-012,branch,ivf,256,12,1000000,0,0,0.8055,1.3637712690979242,1.3637712690979242,1.3637712690979242,50005.31,0.0,787.3,0.0,72272384,179830784,1,True
setting-036,branch,ivf,256,119,1000000,0,0,0.9903,12.484375154599547,12.484375154599547,12.484375154599547,480127.3,0.0,7562.63,0.0,72272384,192331776,1,True
setting-109,keys,ivf,8192,778,0,0,1,0.95,3.212750656530261,3.212750656530261,3.212750656530261,93930.33,0.0,0.0,1556.0,40307400,161251328,1,True
