setting_id,method,clusters,probes,target,leaf_size,node_budget,key_bits,status,predicted_docs_in_opened_clusters,predicted_mask_words_in_opened_clusters,predicted_routing_recall,recall,query_ms_p50,query_ms_p90,search_ms_p50,routing_ms_p50,documents_scored,split_words,leaf_words,nodes,key_lookups,keys,stop_reasons,codes_bytes,row_ids_bytes,bitplanes_bytes,directory_bytes,occupied_keys,logical_index_bytes,routing_payload_bytes,resident_bytes,lifetime_peak_bytes,fits_ram,build_ms,measurements,power_unchanged,predicted_search_ms,search_ms_error_percent,predicted_documents_scored,predicted_recall,predicted_keys,predicted_key_lookups,predicted_split_words,predicted_leaf_words
s175,branch,8192,778,0.95,128,512,0,complete,93930.33,1849.395,0.95,0.37295,1.1685211211442947,1.263462658971548,0.9386874735355377,0.22918800823390484,27784.24,659.38,559.92,512.0,0.0,0.0,"[""budget""]",32000000,8000000,40310784,0,0,80310784,8454144,183795712,223543296,True,563.6687497608364,400,True,0.9536910297666689,1.59835479370154,,,,,,
s087,keys,1024,31,0.8,0,0,4,complete,30625.575,494.11,0.80075,0.80075,0.9206044487655163,1.014566421508789,0.8974580559879541,0.02191704697906971,30625.575,0.0,0.0,0.0,496.0,16.0,"[""exhausted""]",32000000,8000000,0,138360,6918,40138360,1056768,107610112,147423232,True,80.86070790886879,400,True,0.9600778809343472,6.977465356579692,30625.575,0.80075,16,496,,
s058,branch,256,29,0.9,128,512,0,complete,118453.375,1865.415,0.90195,0.12435,0.24647917598485947,0.5846549291163684,0.2368125133216381,0.008500181138515472,1359.855,32014.72,1248.865,512.0,0.0,0.0,"[""budget""]",32000000,8000000,32272384,0,0,72272384,264192,152895488,192561152,True,547.650667373091,400,True,0.18714988507502744,-20.971285490796262,,,,,,
s034,keys,64,18,0.95,0,0,8,complete,286891.74,4491.88,0.9537,0.9537,8.3150421269238,9.121195925399661,8.29062587581575,0.021063024178147316,286891.74,0.0,0.0,0.0,4608.0,256.0,"[""exhausted""]",32000000,8000000,0,137440,6872,40137440,66048,95698944,135512064,True,174.01499999687076,400,True,8.90082193304341,7.360072283657611,286891.74,0.9537,256,4608,,
s168,keys,8192,353,0.9,0,0,4,complete,42847.11,842.46,0.9002,0.9002,1.7408544663339853,1.9168918952345848,1.5547506045550108,0.18679210916161537,42847.11,0.0,0.0,0.0,5648.0,16.0,"[""exhausted""]",32000000,8000000,0,812440,40622,40812440,8454144,123322368,163020800,True,78.90600012615323,400,True,1.4039878030891242,-9.69691222657777,42847.11,0.9002,16,5648,,
s070,keys,256,52,0.95,0,0,8,complete,211418.835,3329.845,0.95025,0.95025,6.77954126149416,7.494025863707066,6.746333325281739,0.030291499570012093,211418.835,0.0,0.0,0.0,13312.0,256.0,"[""exhausted""]",32000000,8000000,0,425820,21291,40425820,264192,102383616,142213120,True,150.23483335971832,400,True,6.69265647178171,-0.7956448475333452,211418.835,0.95025,256,13312,,
s090,scan,1024,84,0.9,0,0,0,complete,82157.245,1325.785,0.9005,0.9005,2.184791723266244,2.3451668675988913,2.1518953144550323,0.031292205676436424,82157.245,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,1056768,139706368,179535872,True,16.762916930019855,400,True,2.182546250506373,1.4243692918260225,82157.245,0.9005,,,,
s069,keys,256,52,0.95,0,0,4,complete,211418.835,3329.845,0.95025,0.95025,6.205499870702624,6.713445298373699,6.180791417136788,0.02581230364739895,211418.835,0.0,0.0,0.0,832.0,16.0,"[""exhausted""]",32000000,8000000,0,38700,1935,40038700,264192,101056512,140902400,True,87.52308320254087,400,True,6.528444835889864,5.624739540460405,211418.835,0.95025,16,832,,
s137,branch,4096,467,0.95,128,0,0,complete,114476.795,2016.035,0.95005,0.95005,5.131833255290985,5.862979404628277,4.979229532182217,0.1395831350237131,114476.795,18559.07,14931.105,6918.99,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,180830208,220528640,True,541.2738341838121,400,True,5.098335096916625,2.392048086246955,114476.795,0.95005,,,,
s141,keys,4096,467,0.95,0,0,4,complete,114476.795,2016.035,0.95005,0.95005,3.886624937877059,4.219679115340114,3.7455414421856403,0.13681268319487572,114476.795,0.0,0.0,0.0,7472.0,16.0,"[""exhausted""]",32000000,8000000,0,460980,23049,40460980,4227072,114147328,153845760,True,75.44045802205801,400,True,3.6324047128772654,-3.0205707520447596,114476.795,0.95005,16,7472,,
