routing_method,probes,kind,node_budget,explore_probability,comparison,metric,queries,search_seeds,difference,ci_low,ci_high
ivf,2,branch,0,0.1,branch-minus-scan,binary_recall,648,3,0.0,0.0,0.0
ivf,2,branch,0,0.1,branch-minus-scan,ndcg,648,3,5.996574978685259e-19,-3.854941057726238e-19,1.5419764230904951e-18
ivf,2,branch,0,0.1,branch-minus-scan,precision,648,3,8.480870326997724e-18,7.581384080194934e-18,9.44460559142928e-18
ivf,2,branch,0,0.1,branch-minus-scan,relevance_recall,648,3,1.113649638898691e-18,5.13992141030165e-19,1.7989724936055776e-18
ivf,2,branch,0,0.1,exploration-minus-deterministic,float_recall,648,3,1.0772418622423876e-17,6.639065154972965e-18,1.5038017984494002e-17
ivf,2,branch,0,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0,0.0,0.0
ivf,2,branch,0,0.1,exploration-minus-deterministic,ndcg,648,3,5.996574978685259e-19,-3.854941057726238e-19,1.5419764230904951e-18
ivf,2,branch,0,0.1,exploration-minus-deterministic,precision,648,3,8.480870326997724e-18,7.581384080194934e-18,9.44460559142928e-18
ivf,2,branch,0,0.1,exploration-minus-deterministic,relevance_recall,648,3,1.113649638898691e-18,5.13992141030165e-19,1.7989724936055776e-18
ivf,2,branch,16,0.0,branch-minus-scan,float_recall,648,1,-0.6063271604938272,-0.6285648148148149,-0.5847145061728395
ivf,2,branch,16,0.0,branch-minus-scan,binary_recall,648,1,-1.0,-1.0,-0.9999999999999998
ivf,2,branch,16,0.0,branch-minus-scan,ndcg,648,1,-0.27631715530637546,-0.30190743431287587,-0.25028702614766424
ivf,2,branch,16,0.0,branch-minus-scan,precision,648,1,-0.0742283950617284,-0.08195216049382717,-0.06728395061728396
ivf,2,branch,16,0.0,branch-minus-scan,relevance_recall,648,1,-0.32136998375424297,-0.3509976890821798,-0.2908489297696474
ivf,2,branch,16,0.1,branch-minus-scan,float_recall,648,3,-0.6062757201646091,-0.6284606481481482,-0.5846141975308641
ivf,2,branch,16,0.1,branch-minus-scan,binary_recall,648,3,-0.9996141975308642,-0.9997223508230453,-0.9994957561728395
ivf,2,branch,16,0.1,branch-minus-scan,ndcg,648,3,-0.2758009375889076,-0.30138980336665533,-0.24986266080045758
ivf,2,branch,16,0.1,branch-minus-scan,precision,648,3,-0.07412551440329218,-0.08179655349794239,-0.06718106995884773
ivf,2,branch,16,0.1,branch-minus-scan,relevance_recall,648,3,-0.3209841812851072,-0.35087230327971064,-0.2903427977415246
ivf,2,branch,16,0.1,exploration-minus-deterministic,float_recall,648,3,5.1440329218106995e-05,0.0,0.0001556069958847725
ivf,2,branch,16,0.1,exploration-minus-deterministic,binary_recall,648,3,0.00038580246913580245,0.00027764917695473253,0.0005042438271604938
ivf,2,branch,16,0.1,exploration-minus-deterministic,ndcg,648,3,0.0005162177174678807,0.0,0.0013478403694858942
ivf,2,branch,16,0.1,exploration-minus-deterministic,precision,648,3,0.00010288065843621399,0.0,0.000257201646090535
ivf,2,branch,16,0.1,exploration-minus-deterministic,relevance_recall,648,3,0.00038580246913580245,0.0,0.0010288065843621398
ivf,2,branch,32,0.0,branch-minus-scan,float_recall,648,1,-0.6035493827160494,-0.6262384259259259,-0.5810185185185185
ivf,2,branch,32,0.0,branch-minus-scan,binary_recall,648,1,-0.9971759259259261,-0.9987812499999998,-0.9952148919753087
ivf,2,branch,32,0.0,branch-minus-scan,ndcg,648,1,-0.2745004971622025,-0.3007264254687508,-0.24877468167049668
ivf,2,branch,32,0.0,branch-minus-scan,precision,648,1,-0.07361111111111111,-0.08148148148148149,-0.06666280864197532
ivf,2,branch,32,0.0,branch-minus-scan,relevance_recall,648,1,-0.31879796729333765,-0.3486495758399693,-0.2882524332234981
ivf,2,branch,32,0.1,branch-minus-scan,float_recall,648,3,-0.6035493827160494,-0.6260828189300411,-0.5813181584362139
ivf,2,branch,32,0.1,branch-minus-scan,binary_recall,648,3,-0.9965740740740741,-0.9979630915637859,-0.9947829218106995
ivf,2,branch,32,0.1,branch-minus-scan,ndcg,648,3,-0.27393928370702814,-0.30021933962875685,-0.24777343525052137
ivf,2,branch,32,0.1,branch-minus-scan,precision,648,3,-0.0734567901234568,-0.08132716049382716,-0.06645704732510288
ivf,2,branch,32,0.1,branch-minus-scan,relevance_recall,648,3,-0.3183264309421717,-0.34847611311442334,-0.2876665175102675
ivf,2,branch,32,0.1,exploration-minus-deterministic,float_recall,648,3,2.7841240972467273e-19,-0.0004629629629629626,0.0004629629629629631
ivf,2,branch,32,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0006018518518518519,6.687242798353914e-05,0.001080246913580247
ivf,2,branch,32,0.1,exploration-minus-deterministic,ndcg,648,3,0.0005612134551743664,0.0,0.0013938667295318508
ivf,2,branch,32,0.1,exploration-minus-deterministic,precision,648,3,0.0001543209876543211,1.2849803525754126e-19,0.000360082304526749
ivf,2,branch,32,0.1,exploration-minus-deterministic,relevance_recall,648,3,0.00047153635116598073,0.0,0.0011574074074074073
ivf,2,branch,64,0.0,branch-minus-scan,float_recall,648,1,-0.500925925925926,-0.5237692901234567,-0.4757638888888888
ivf,2,branch,64,0.0,branch-minus-scan,binary_recall,648,1,-0.8974845679012344,-0.9082121913580247,-0.8853688271604937
ivf,2,branch,64,0.0,branch-minus-scan,ndcg,648,1,-0.19223418343730653,-0.21452935095496584,-0.16938054035424802
ivf,2,branch,64,0.0,branch-minus-scan,precision,648,1,-0.05524691358024691,-0.062037037037037036,-0.04876543209876544
ivf,2,branch,64,0.0,branch-minus-scan,relevance_recall,648,1,-0.233314160976198,-0.2607026197824809,-0.20612698718890846
ivf,2,branch,64,0.1,branch-minus-scan,float_recall,648,3,-0.5296296296296296,-0.552678755144033,-0.5056057098765432
