method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,bitplane_words,routed_documents,selected_buckets,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,1,4096,0.0,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,0.0,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11208350770175457,0.1555643742904067,0.07041660137474537,0.1132915960624814,0.06839600000000001,0.1112374,0.00600004568696022,0.007409579120576378,0.03408314660191536,0.039042369462549686
ivf/branch,1,4096,0.1,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.14351851851852,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.1138544175773859,0.1567731611430645,0.07139565423130989,0.1130706164985895,0.069375,0.11102309999999999,0.00600004568696022,0.008577713742852208,0.03420887514948845,0.04128576256334781
ivf/branch,1,4096,0.1,43,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.123456790123456,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11095823720097542,0.15182502102106807,0.06937491707503796,0.10955191683024167,0.067354,0.10738494999999998,0.005791895091533661,0.007577077485620972,0.03400025889277458,0.03900006413459778
ivf/branch,1,4096,0.1,44,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.19753086419753,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11512497439980507,0.15898754354566336,0.07252092473208904,0.1142793335020542,0.0703755,0.112041,0.00600004568696022,0.007832888513803482,0.03470759838819504,0.041082967072725296
ivf/branch,2,0,0.0,42,1944,0.6063271604938273,1.0,0.27631715530637546,0.0742283950617284,0.321369983754243,100.0,496.875,0.0,2097.9706790123455,0.0,5419.378086419753,2097.9706790123455,2.0,0.6708333333333333,0.0,0.0,1.0,0.17141690477728844,0.22860607132315636,0.12872903607785702,0.18523111939430237,0.12658350000000002,0.18248574999999997,0.006250105798244476,0.008542090654373169,0.0349581241607666,0.04057749174535274
ivf/branch,2,0,0.1,42,1944,0.6063271604938273,1.0,0.27631715530637546,0.0742283950617284,0.321369983754243,100.0,496.875,49.42438271604938,2097.9706790123455,0.0,5419.378086419753,2097.9706790123455,2.0,0.6708333333333333,0.0,0.0,1.0,0.17281249165534973,0.2373919356614351,0.1305204350501299,0.1907314406707883,0.1283125,0.18778569999999997,0.006207730621099472,0.010499730706214905,0.034708064049482346,0.042397761717438684
ivf/branch,2,0,0.1,43,1944,0.6063271604938273,1.0,0.27631715530637546,0.0742283950617284,0.321369983754243,100.0,496.875,49.43981481481482,2097.9706790123455,0.0,5419.378086419753,2097.9706790123455,2.0,0.6708333333333333,0.0,0.0,1.0,0.18245819956064224,0.25952868163585663,0.13652071356773376,0.2054273150861263,0.1342915,0.20206425,0.006417278200387955,0.014434172771871074,0.03629131242632866,0.050397822633385644
ivf/branch,2,0,0.1,44,1944,0.6063271604938273,1.0,0.27631715530637546,0.0742283950617284,0.321369983754243,100.0,496.875,49.598765432098766,2097.9706790123455,0.0,5419.378086419753,2097.9706790123455,2.0,0.6708333333333333,0.0,0.0,1.0,0.17393706366419792,0.23688953369855875,0.13089599087834358,0.1888214610517025,0.12864599999999998,0.18659365,0.006292015314102173,0.008875038474798203,0.03470899537205696,0.04111244343221187
ivf/branch,2,16,0.0,42,1944,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,269.74074074074076,2097.9706790123455,2.0,0.6708333333333333,1.0,1.0,0.0,0.017458107322454453,0.02382057718932628,0.010834075510501862,0.012834090739488602,0.009,0.010084,0.005666166543960571,0.008563953451812255,0.0006668269634246826,0.0009997747838497162
ivf/branch,2,16,0.1,42,1944,0.000154320987654321,0.00037037037037037035,0.0,0.0,0.0,6.032407407407407,16.0,1.5848765432098766,6.032407407407407,1.0,259.02777777777777,2097.9706790123455,2.0,0.6708333333333333,0.5046296296296297,0.7700617283950617,0.06032407407407408,0.019208062440156937,0.03477931022644042,0.010895542800426483,0.015118997544050213,0.009042,0.013,0.005540903657674789,0.007083173841238022,0.0010211952030658722,0.013618636876344677
ivf/branch,2,16,0.1,43,1944,0.0,0.0003703703703703704,0.0,0.0,0.0,5.6157407407407405,16.0,1.5941358024691359,5.6157407407407405,1.0,258.55555555555554,2097.9706790123455,2.0,0.6708333333333333,0.4984567901234568,0.7839506172839507,0.05615740740740741,0.019749626517295837,0.034952373243868344,0.011084135621786118,0.014909915626049038,0.0092295,0.012833,0.005667097866535187,0.006750156171619892,0.003041233867406845,0.013898033648729312
