method,clusters,router,setting_id,repetitions,top_k,probes,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0112,1,50,67,2048,8192,True,0,42,3000,3,True,True,0.90092,0.06754200148861855,0.07800416133250107,205.177759155049,0.06714549817843363,0.06708399450872093,0.06837499677203596,10965040,80674816,9044.784,67.0,0.0,173.713,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0115,1,50,121,522931,0,False,0,42,3000,3,True,True,0.95036,0.11229199299123138,0.13112705855746754,342.5973148550838,0.11183349852217361,0.11154099775012583,0.11360449570929632,10965040,80674816,16283.632,121.0,0.0,312.843,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0121,1,75,35,2048,1024,True,0,42,3000,3,True,True,0.8022666666666667,0.046667002607136965,0.054292002459988,142.0385929668555,0.04652050120057538,0.04645849548978731,0.04706250183517113,10965040,80674816,4732.377,35.0,0.0,90.851,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0124,1,75,75,2048,1024,True,0,42,3000,3,True,True,0.9016533333333333,0.07687498873565346,0.08850205413182265,233.89598485664465,0.07710399950155988,0.07645800360478461,0.07718749839114025,10965040,80674816,10123.537,75.0,0.0,194.41,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0127,1,75,134,2048,8192,True,0,42,3000,3,True,True,0.9501066666666667,0.12529099331004545,0.14271009858930483,379.54080766940024,0.12447899644030258,0.12445850734366104,0.12700000661425292,10965040,80674816,18026.948,134.0,0.0,346.423,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0028,1,3,7,64,0,True,0,42,3000,3,True,True,0.9003333333333333,0.029000002541579306,0.07546219640062188,108.8084844959667,0.02904150460381061,0.028708003810606897,0.02925000444520265,10467120,78233600,579.514,124.931,14177.95,2219.203,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0052,1,7,8,128,0,True,0,42,3000,3,True,True,0.908,0.036624995118472725,0.10783930920297277,148.18792551523075,0.03639599890448153,0.036375000490807,0.037062498449813575,10467120,78233600,1632.668,141.729,15469.933,3155.953,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0055,1,7,12,128,1024,True,0,42,3000,3,True,True,0.954,0.04829200042877346,0.1455975914723239,195.6212013028562,0.048250003601424396,0.047708002966828644,0.0487080033053644,10467120,78233600,2157.665,193.378,21187.657,4233.959,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0064,1,10,8,512,8192,True,0,42,3000,3,True,True,0.9012,0.03949999518226832,0.11746009622584096,161.33363904373255,0.039417005609720945,0.0391670037060976,0.040040991734713316,10467120,78233600,5269.462,98.236,10486.037,2486.659,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0067,1,10,12,128,0,True,0,42,3000,3,True,True,0.9503,0.053290998039301485,0.1612131483852863,219.89878844760824,0.0533124984940514,0.052916991990059614,0.05404149851528928,10467120,78233600,2553.973,210.879,22659.303,5058.579,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,final-s0079,1,15,13,128,1024,True,0,42,3000,3,True,True,0.9577333333333333,0.06722900434397161,0.1943749957717955,265.6157256424194,0.06754149944754317,0.0663539904053323,0.06760400719940662,10467120,78233600,3300.559,251.42,26458.093,6573.989,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0070,1,10,9,128,0,True,0,42,3000,3,True,True,0.9913,0.07406249642372131,0.26510799943935115,328.6003238754347,0.07391699909931049,0.07360399467870593,0.07445799565175548,10460464,72171520,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0082,1,15,9,128,0,True,0,42,3000,3,True,True,0.9912,0.09233349555870518,0.29354614089243114,380.9332295350032,0.09231249714503065,0.09202049841405824,0.09270850569009781,10460464,72171520,2715.882,210.3,87801.385,20544.236,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0094,1,20,9,2048,8192,True,0,42,3000,3,True,True,0.9905,0.11954150249948725,0.42999963916372486,550.2495992404874,0.11197899584658444,0.11162499140482396,0.1406044902978465,10460464,72171520,23400.408,90.864,36427.588,10488.066,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0106,1,30,10,2048,1024,True,0,42,3000,3,True,True,0.9939666666666667,0.14989550254540518,0.5075937580841122,650.4809564357856,0.15008349873824045,0.14885400014463812,0.15229150449158624,10460464,72171520,29998.347,108.52,42406.958,13652.467,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0118,1,50,10,128,8192,True,0,42,3000,3,True,True,0.99326,0.20804149971809238,0.5163878129678773,701.4104359259363,0.20824999955948442,0.2078749967040494,0.20829150162171572,10460464,72171520,5460.969,362.089,145007.407,41705.383,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0130,1,75,10,128,0,True,0,42,3000,3,True,True,0.9927066666666666,0.2597915008664131,0.6309312520897944,876.4835609181318,0.2567710034782067,0.25466649822192267,0.2704169964999892,10460464,72171520,6738.537,431.277,170959.855,51519.441,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0113,1,50,67,,,,,,3000,3,True,True,0.90092,0.060957994719501585,0.0714170018909499,185.84939795255195,0.06087500514695421,0.060457998188212514,0.06154099537525326,10458620,77561856,9044.784,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0116,1,50,121,,,,,,3000,3,True,True,0.95036,0.09962500189431012,0.11350000568199903,302.01569278142415,0.10012499114964157,0.0985630031209439,0.10029099939856678,10458620,77561856,16283.632,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0119,1,50,322,,,,,,3000,3,True,True,0.99004,0.21981250029057264,0.2429601052426733,662.7283933048602,0.22000000171829015,0.21893750090384856,0.22047949460102245,10458620,77561856,43157.822,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0122,1,75,35,,,,,,3000,3,True,True,0.8022666666666667,0.043499996536411345,0.05062499258201569,132.43458294891752,0.04354099655756727,0.043104497308377177,0.044208005419932306,10458620,77561856,4732.377,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0125,1,75,75,,,,,,3000,3,True,True,0.9016533333333333,0.06954200216569006,0.07933400047477335,211.01784346683417,0.0694585032761097,0.06906249473104253,0.07016700692474842,10458620,77561856,10123.537,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0128,1,75,134,,,,,,3000,3,True,True,0.9501066666666667,0.11162500595673919,0.1263351041416172,338.0666173325153,0.1114999977289699,0.1109999866457656,0.11256200377829373,10458620,77561856,18026.948,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,final-s0011,1,1,78,,,,,,3000,3,True,True,0.99,0.11447900033090264,0.1805830601369962,353.16153688472696,0.11212449317099527,0.10962449596263468,0.1207919922308065,10458620,78086144,26153.499,0.0,0.0,0.0,3.511,494.988,1.489,4,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0133,1,100,38,2048,8192,True,0,42,3000,3,True,True,0.80108,0.05231249815551564,0.06154200018499978,159.56789259507786,0.05254099960438907,0.05141699512023479,0.05308300023898482,10965040,80871424,5139.612,38.0,0.0,98.674,0.0,0.0,0.0,,,
