setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0073,1000000,keys,none,1,1,0,0,4,0,0,0,1.0,1.0,1.7236461862921715,1.8233349546790123,1,135888896
s0074,1000000,keys,ivf,16384,11030,0,0,14,0,0,0,0.95,0.94449375,2.035041805356741,8.122995868325233,1,243466240
s0075,100000,branch,direct,16384,25,0,128,0,0,0,0,0.9135,0.906,0.02160412259399891,0.030214176513254642,1,96665600
s0076,1000000,keys,ivf,16384,9126,0,0,12,0,0,0,0.9,0.89075,1.5106040518730879,4.699324839748442,1,242876416
s0077,100000,branch,ivf,16384,11676,0,256,0,0,0,0,0.99,0.98724375,4.450917011126876,4.694525129161775,1,128696320
s0078,1000000,branch,ivf,16384,6398,0,256,0,0,0,0,0.8,0.78649375,12.3667495790869,12.921439833007753,1,250281984
s0079,1000000,keys,ivf,16384,16233,0,0,4,0,0,0,1.0,1.0,6.894812453538179,8.292053826153278,1,195706880
s0080,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.022313091903924942,0.02751857973635196,1,77381632
s0081,1000000,scan,sign,16384,15,0,0,0,0,0,0,1.0,1.0,0.10777078568935394,0.11465214192867278,1,191758336
s0082,1000000,branch,ivf,16384,6398,0,64,0,0,0,0,0.8,0.786,12.718416517600417,13.347949902527034,1,250363904
s0083,100000,keys,ivf,16384,11676,0,0,4,0,0,0,0.99,0.987,3.348499769344926,3.8197809364646673,1,98271232
s0084,100000,branch,sign,16384,16334,0,64,0,0,0,0,1.0,1.0,5.5292705073952675,5.792107945308089,1,96288768
s0085,100000,branch,ivf,16384,11676,0,64,0,0,0,0,0.99,0.98675,4.459083313122392,4.671483230777085,1,128974848
s0086,1000000,keys,direct,16384,3,0,0,4,0,0,0,1.0,1.0,0.022145453840494156,0.028692232444882386,1,164495360
s0087,100000,keys,ivf,16384,3375,0,0,12,0,0,0,0.8,0.78774375,1.3571251183748245,1.4419515617191792,1,99696640
s0088,1000000,branch,ivf,16384,11030,0,128,0,0,0,0,0.95,0.94425,20.93829191289842,21.879088529385626,1,250429440
s0089,1000000,scan,ivf,16384,9126,0,0,0,0,0,0,0.9,0.89075,16.60241628997028,17.247698339633644,1,206602240
s0090,100000,branch,ivf,16384,7899,0,256,0,0,0,0,0.95,0.944,3.088521072641015,3.3554068533703685,1,128565248
s0091,100000,branch,direct,8192,13,0,1024,0,0,0,0,0.93525,0.92724375,0.02195802517235279,0.028602173551917062,1,78610432
s0092,1000000,keys,ivf,16384,11030,0,0,4,0,0,0,0.95,0.944,5.239979596808553,17.72297727875411,1,195739648
s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
s0094,1000000,branch,sign,16384,2,0,256,0,0,0,0,0.99975,0.99925,0.08593732491135597,0.1007186947390437,1,236126208
s0095,100000,keys,direct,16384,25,0,0,12,0,0,0,0.9135,0.90549375,0.552354147657752,0.6275746505707502,1,67584000
s0096,100000,branch,direct,16384,27,0,64,0,0,0,0,0.97175,0.966,0.024540815502405167,0.030304840765893452,1,96468992
s0097,100000,branch,ivf,16384,3375,0,128,0,0,0,0,0.8,0.7875,1.6530624125152826,1.778418873436749,1,128778240
