method,probes,node_budget,explore_probability,seed,original_p50_ms,power_rerun_p50_ms,clean_p50_ms,clean_vs_original_ratio,clean_vs_power_ratio,float_recall,ndcg
ivf/branch,4,128,0.1,43,0.10285456664860249,0.07395865395665169,0.07012486457824707,0.6817865930817169,0.9481630725641429,0.12623456790123458,0.09082661212594163
ivf/branch,4,128,0.1,44,0.10491698049008846,0.07331231608986855,0.07054093293845654,0.6723500105411493,0.9621975774436758,0.12608024691358025,0.09532537583077778
ivf/branch,4,512,0.0,42,0.25749998167157173,0.17120782285928726,0.1641456037759781,0.637458700813958,0.9587506051688217,0.6546296296296296,0.3040713024615111
ivf/branch,4,512,0.1,42,0.257270410656929,0.17364602535963058,0.16791652888059616,0.65268496463246,0.9670047358287164,0.6550925925925926,0.30403110099681235
ivf/branch,4,512,0.1,43,0.26062503457069397,0.1826249063014984,0.17391610890626907,0.6673039264733208,0.952313199926565,0.6558641975308642,0.3042946834680771
ivf/branch,4,512,0.1,44,0.26404112577438354,0.18093734979629517,0.16416702419519424,0.6217479330680888,0.9073141857113445,0.6561728395061728,0.30590505423727254
ivf/branch,16,32,0.0,42,0.028708018362522125,0.02004089765250683,0.018207821995019913,0.6342416869424169,0.9085332558814987,0.0,0.0
ivf/branch,16,32,0.1,42,0.029792077839374542,0.020042061805725098,0.019437400624155998,0.6524352121041608,0.9698303903345725,0.0,0.0
ivf/branch,16,32,0.1,43,0.02958322875201702,0.01987488940358162,0.019292347133159637,0.6521379831416901,0.970689533984677,0.0,0.0
ivf/branch,16,32,0.1,44,0.028959009796380997,0.019667204469442368,0.019541941583156586,0.6748138738362089,0.9936308748668167,0.0,0.0
ivf/branch,16,128,0.0,42,0.04656263627111912,0.03062468022108078,0.03024982288479805,0.6496587244043304,0.9877596326369249,0.000154320987654321,0.0
ivf/branch,16,128,0.1,42,0.07197889499366283,0.05072890780866146,0.05181180313229561,0.7198193739547852,1.021346710789016,0.000308641975308642,0.0
ivf/branch,16,128,0.1,43,0.07400009781122208,0.05333404988050461,0.04983413964509964,0.6734334294020665,0.9343775647406011,0.000308641975308642,0.0
ivf/branch,16,128,0.1,44,0.0725211575627327,0.05333311855792999,0.05087489262223244,0.7015179339660198,0.9539080780917124,0.000617283950617284,0.0
ivf/branch,16,512,0.0,42,0.22812490351498127,0.14866702258586884,0.14983303844928741,0.6568026381190236,1.007843137254902,0.36141975308641977,0.22331328920086627
