query,top_k,empty_depths,lookups_at_empty_depths,total_lookups
106,50,11,1716,4992
106,100,11,1716,4992
107,1,14,2184,4836
107,2,14,2184,4992
107,3,14,2184,4992
107,5,14,2184,4992
107,10,14,2184,4992
107,20,14,2184,4992
107,50,14,2184,4992
107,100,14,2184,4992
108,1,19,2964,4992
108,2,19,2964,4992
108,3,19,2964,4992
108,5,19,2964,4992
108,10,19,2964,4992
108,20,19,2964,4992
108,50,19,2964,4992
108,100,19,2964,4992
109,1,13,2028,4992
109,2,13,2028,4992
109,3,13,2028,4992
109,5,13,2028,4992
109,10,13,2028,4992
109,20,13,2028,4992
109,50,13,2028,4992
109,100,13,2028,4992
110,1,18,2808,4992
110,2,18,2808,4992
110,3,18,2808,4992
110,5,18,2808,4992
110,10,18,2808,4992
110,20,18,2808,4992
110,50,18,2808,4992
110,100,18,2808,4992
111,1,6,936,4992
111,2,6,936,4992
111,3,6,936,4992
111,5,6,936,4992
111,10,6,936,4992
111,20,6,936,4992
111,50,6,936,4992
111,100,6,936,4992
112,1,12,1872,4992
112,2,12,1872,4992
112,3,12,1872,4992
112,5,12,1872,4992
112,10,12,1872,4992
112,20,12,1872,4992
112,50,12,1872,4992
112,100,12,1872,4992
113,1,12,1872,4836
113,2,12,1872,4836
113,3,12,1872,4992
113,5,12,1872,4992
113,10,12,1872,4992
113,20,12,1872,4992
113,50,12,1872,4992
113,100,12,1872,4992
114,1,13,2028,4992
114,2,13,2028,4992
114,3,13,2028,4992
114,5,13,2028,4992
114,10,13,2028,4992
114,20,13,2028,4992
114,50,13,2028,4992
114,100,13,2028,4992
115,1,14,2184,4992
115,2,14,2184,4992
115,3,14,2184,4992
115,5,14,2184,4992
115,10,14,2184,4992
115,20,14,2184,4992
115,50,14,2184,4992
115,100,14,2184,4992
116,1,13,2028,4836
116,2,13,2028,4836
116,3,13,2028,4836
116,5,13,2028,4836
116,10,13,2028,4992
116,20,13,2028,4992
116,50,13,2028,4992
116,100,13,2028,4992
117,1,0,0,156
117,2,6,936,2184
117,3,6,936,2184
117,5,8,1248,4992
117,10,8,1248,4992
117,20,8,1248,4992
117,50,8,1248,4992
117,100,8,1248,4992
118,1,16,2496,4992
118,2,16,2496,4992
118,3,16,2496,4992
118,5,16,2496,4992
118,10,16,2496,4992
118,20,16,2496,4992
118,50,16,2496,4992
118,100,16,2496,4992
119,1,11,1716,4836
119,2,11,1716,4836
119,3,11,1716,4836
119,5,11,1716,4836
119,10,11,1716,4836
119,20,11,1716,4992
119,50,11,1716,4992
119,100,11,1716,4992
120,1,0,0,156
120,2,9,1404,4836
120,3,9,1404,4836
120,5,9,1404,4836
120,10,9,1404,4992
120,20,9,1404,4992
120,50,9,1404,4992
120,100,9,1404,4992
121,1,22,3432,4836
121,2,22,3432,4836
121,3,22,3432,4836
121,5,22,3432,4836
121,10,22,3432,4992
121,20,22,3432,4992
121,50,22,3432,4992
121,100,22,3432,4992
122,1,15,2340,4836
122,2,15,2340,4836
122,3,15,2340,4836
122,5,15,2340,4992
122,10,15,2340,4992
122,20,15,2340,4992
122,50,15,2340,4992
122,100,15,2340,4992
123,1,10,1560,4992
123,2,10,1560,4992
123,3,10,1560,4992
123,5,10,1560,4992
123,10,10,1560,4992
123,20,10,1560,4992
123,50,10,1560,4992
123,100,10,1560,4992
124,1,26,4056,4992
124,2,26,4056,4992
124,3,26,4056,4992
124,5,26,4056,4992
124,10,26,4056,4992
124,20,26,4056,4992
124,50,26,4056,4992
124,100,26,4056,4992
125,1,13,2028,4992
125,2,13,2028,4992
125,3,13,2028,4992
125,5,13,2028,4992
125,10,13,2028,4992
125,20,13,2028,4992
125,50,13,2028,4992
125,100,13,2028,4992
126,1,14,2184,4992
126,2,14,2184,4992
126,3,14,2184,4992
126,5,14,2184,4992
126,10,14,2184,4992
126,20,14,2184,4992
126,50,14,2184,4992
126,100,14,2184,4992
127,1,0,0,156
127,2,0,0,156
127,3,0,0,156
127,5,14,2184,4836
127,10,14,2184,4992
127,20,14,2184,4992
127,50,14,2184,4992
127,100,14,2184,4992
128,1,13,2028,4992
128,2,13,2028,4992
128,3,13,2028,4992
128,5,13,2028,4992
128,10,13,2028,4992
128,20,13,2028,4992
128,50,13,2028,4992
128,100,13,2028,4992
129,1,9,1404,4836
129,2,9,1404,4836
129,3,9,1404,4836
129,5,9,1404,4836
129,10,9,1404,4836
129,20,9,1404,4836
129,50,9,1404,4836
129,100,9,1404,4992
130,1,14,2184,4992
130,2,14,2184,4992
130,3,14,2184,4992
130,5,14,2184,4992
130,10,14,2184,4992
130,20,14,2184,4992
130,50,14,2184,4992
130,100,14,2184,4992
131,1,11,1716,4992
131,2,11,1716,4992
131,3,11,1716,4992
131,5,11,1716,4992
131,10,11,1716,4992
131,20,11,1716,4992
131,50,11,1716,4992
131,100,11,1716,4992
132,1,19,2964,4992
132,2,19,2964,4992
132,3,19,2964,4992
132,5,19,2964,4992
132,10,19,2964,4992
132,20,19,2964,4992
132,50,19,2964,4992
132,100,19,2964,4992
133,1,20,3120,4836
133,2,20,3120,4836
133,3,20,3120,4836
133,5,20,3120,4992
133,10,20,3120,4992
133,20,20,3120,4992
133,50,20,3120,4992
133,100,20,3120,4992
134,1,16,2496,4992
134,2,16,2496,4992
134,3,16,2496,4992
134,5,16,2496,4992
134,10,16,2496,4992
134,20,16,2496,4992
134,50,16,2496,4992
134,100,16,2496,4992
135,1,11,1716,3900
135,2,11,1716,3900
135,3,11,1716,3900
135,5,11,1716,4836
135,10,11,1716,4836
135,20,11,1716,4836
135,50,11,1716,4992
135,100,11,1716,4992
136,1,13,2028,4992
136,2,13,2028,4992
136,3,13,2028,4992
136,5,13,2028,4992
136,10,13,2028,4992
136,20,13,2028,4992
136,50,13,2028,4992
136,100,13,2028,4992
137,1,15,2340,4836
137,2,15,2340,4992
137,3,15,2340,4992
137,5,15,2340,4992
137,10,15,2340,4992
137,20,15,2340,4992
137,50,15,2340,4992
137,100,15,2340,4992
138,1,0,0,156
138,2,10,1560,4836
138,3,10,1560,4992
138,5,10,1560,4992
138,10,10,1560,4992
138,20,10,1560,4992
138,50,10,1560,4992
