method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03320,10,25,1,,,,,,3000,3,True,True,0.8049,0.03133299469482154,0.03733299745363183,96.34430089499801,0.030791008612141013,0.030583003535866737,0.03283299884060398,10458620,77873152,1718.73,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03155,100,207,1,0,42,512,8192,True,3000,3,True,True,0.95032,0.15816699306014925,0.17975415030377914,478.8780132512329,0.15935450210236013,0.152374996105209,0.16270799824269488,11395888,81100800,14169.042,207.0,0.0,317.02,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03480,75,192,1,,,,,,3000,3,True,True,0.95024,0.13141598901711404,0.15216699175653048,399.6706262114458,0.13129149010637775,0.13004150241613388,0.13304150343174115,10458620,78069760,13146.689,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03335,10,362,1,,,,,,3000,3,True,True,0.99,0.20087500161025673,0.22875204595038667,606.7223594727693,0.20229200163157657,0.19431300461292267,0.20599999697878957,10458620,77758464,24694.214,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03100,50,39,1,0,42,2048,8192,False,3000,3,True,True,0.80354,0.04720799915958196,0.05562500155065209,144.16697973501869,0.04706250183517113,0.04641700070351362,0.048104499001055956,11395888,81330176,2681.488,39.0,0.0,59.929,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03445,50,88,1,,,,,,3000,3,True,True,0.9,0.06908350042067468,0.08101249113678925,210.56366895209067,0.06927049980731681,0.06808350008213893,0.06999999459367245,10458620,77905920,6043.935,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03235,3,44,1,,,,,,3000,3,True,True,0.9006666666666666,0.03962501068599522,0.046377103717531995,120.78496399044525,0.03950000973418355,0.039500002458225936,0.039917002141010016,10458620,77905920,3025.44,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,512,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-512-seed42,main-s02186,2,9,1,0,42,128,8192,True,3000,3,True,True,0.824,0.024042004952207208,0.03679309593280776,76.34343091922347,0.02404199040029198,0.02358300844207406,0.024625005607958883,10521648,83345408,904.134,100.845,1526.652,223.205,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03450,50,169,1,,,,,,3000,3,True,True,0.95028,0.11616599658736959,0.1340000017080456,352.6287730637705,0.11585401080083102,0.11472950427560136,0.11806250404333696,10458620,78086144,11582.073,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03305,7,328,1,,,,,,3000,3,True,True,0.99,0.1872294960776344,0.21241605863906443,567.1859300055075,0.18783350242301822,0.18512499809730798,0.18883350276155397,10458620,78102528,22385.409,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
