recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.95835,0.9535487500000001,0.9630012499999999,0.19675004296004772,0.21474994719028473,0.19425014033913612,0.20006436971016228,200,3,1800,s3478,10000,100,keys,ivf,256,128,0,0,4,50000,0,49790976,True
0.8491,0.83665,0.8612512499999999,0.09787501767277718,0.10745835024863482,0.09508240618743002,0.09962497279047966,200,3,1800,s3523,10000,100,scan,ivf,256,64,0,0,0,0,0,49774592,True
0.91785,0.9094975,0.9257512499999999,0.13391650281846523,0.1444169320166111,0.13229204341769218,0.13514612801373005,200,3,1800,s3599,10000,100,scan,ivf,256,96,0,0,0,0,0,49856512,True
0.9927,0.99135,0.99405,0.28120772913098335,0.29341597110033035,0.28035365976393223,0.2817919012159109,200,3,1800,s3668,10000,100,keys,ivf,256,192,0,0,4,10000,0,49807360,True
0.91785,0.9094975,0.9257512499999999,0.1560412347316742,0.16812928952276707,0.15335362404584885,0.1577087678015232,200,3,1800,s3833,10000,100,keys,ivf,256,96,0,0,4,10000,0,49659904,True
0.9547,0.9461487500000001,0.96235125,3.429521108046174,3.679139446467161,3.4095779876224697,3.459665924310684,200,3,1800,s4143,1000000,100,branch,ivf,4096,512,1024,512,0,0,0,219955200,True
0.9925,0.99015,0.9944,9.579563047736883,10.151066444814205,9.526645997539163,9.657345624873415,200,3,1800,s4707,1000000,100,scan,ivf,4096,1536,0,0,0,0,0,182517760,True
0.9925,0.99015,0.9944,9.964499855414033,10.68841596134007,9.633291512727737,10.150777897797525,200,3,1800,s4886,1000000,100,branch,ivf,4096,1536,0,1024,0,0,0,219824128,True
0.9547,0.9461487500000001,0.96235125,3.3600416500121355,3.6529146367684007,3.309875261038542,3.4340207930654287,200,3,1800,s4940,1000000,100,scan,ivf,4096,512,0,0,0,0,0,182452224,True
0.9547,0.9461487500000001,0.96235125,3.7055211141705513,4.033373389393091,3.6861663684248924,3.728403593413532,200,3,1800,s4985,1000000,100,keys,ivf,4096,512,0,0,4,0,0,153223168,True
