case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
102,branch,8192,check,32,512,0,0,0.9387500000000001,0.2521662972867489,0.2642123425477017,4.777024285388446,0.27277301996946335,0.26977915328651036,True,589824,589824,48922624,49086464,49086464,fits_by_lifetime_peak,4848.25,37712.0,27824.0,0.0,105472,0,True
103,keys,1024,fit,0,0,8,1000,0.9862500000000001,0.04935404285788536,0.05541588396143904,12.282359767382601,0.058114528656005845,0.05596023244232017,True,45940,40960,48840704,48939008,48939008,fits_by_lifetime_peak,1002.125,0.0,0.0,249.75,0,2048,True
104,keys,2048,check,0,0,8,1000,0.63375,0.047104666009545326,0.05039884138546033,6.993310121862385,0.05613740067929028,0.050765374645771064,True,87040,81920,48627712,48775168,48775168,fits_by_lifetime_peak,1004.25,0.0,0.0,125.75,0,2048,True
105,keys,2048,check,0,0,12,0,1.0,0.24924986064434052,0.2446143714789365,-1.8597760309356748,0.27440181002020836,0.24550797548928005,True,113860,81920,48726016,52166656,52166656,fits_by_lifetime_peak,2048.0,0.0,0.0,4096.0,0,32768,True
106,keys,1024,fit,0,0,4,1000,1.0,0.04191719926893711,0.04645666988799871,10.829613376449004,0.04968936555087566,0.04689190021018089,True,41280,40960,48496640,48644096,48644096,fits_by_lifetime_peak,1024.0,0.0,0.0,16.0,0,128,True
107,scan,1024,fit,0,0,0,0,1.0,0.043583568185567856,0.043565762141827044,-0.04085494713282329,0.049756048247218125,0.044764025049391684,True,40960,40960,48660480,52019200,52019200,fits_by_lifetime_peak,1024.0,0.0,0.0,0.0,0,0,True
108,keys,16384,fit,0,0,4,0,1.0,0.4569797310978174,0.4595399275804233,0.5602428966500144,0.47294802498072386,0.46054875947631113,True,655680,655360,48758784,52805632,52805632,fits_by_lifetime_peak,16384.0,0.0,0.0,16.0,0,128,True
109,branch,1024,fit,32,512,0,0,1.0,0.05291705019772053,0.052784435777942465,-0.2506081107744271,0.06287277210503817,0.05326966644778223,True,73728,73728,48447488,48594944,48594944,fits_by_lifetime_peak,1024.0,736.0,752.0,0.0,2560,0,True
110,scan,32768,check,0,0,0,0,1.0,0.8621038869023323,0.8586012650134572,-0.4062876808803763,0.893449829891324,0.8593969637381443,True,1310720,1310720,49479680,53936128,53936128,fits_by_lifetime_peak,32768.0,0.0,0.0,0.0,0,0,True
111,keys,32768,check,0,0,8,1000,0.07375000000000001,0.044791726395487785,0.047081954028233175,5.113059524707451,0.05533753428608179,0.04941678534593619,True,1315840,1310720,49070080,49184768,50118656,fits_by_lifetime_peak,1066.125,0.0,0.0,8.25,0,128,True
112,keys,16384,fit,0,0,8,1000,0.1325,0.044082989916205406,0.046799864272605705,6.163090029883716,0.05130288191139697,0.04730445803531259,True,660480,655360,48496640,48611328,48988160,fits_by_lifetime_peak,1031.75,0.0,0.0,16.125,0,256,True
113,branch,32768,check,128,0,0,0,1.0,1.4733124990016222,1.490089639196452,1.1387360255342078,1.5609438065439463,1.5004018665856447,True,2359296,2359296,51101696,55492608,55492608,fits_by_lifetime_peak,32768.0,193344.0,193856.0,0.0,434176,0,True
114,branch,4096,fit,128,512,0,0,1.0,0.14372915029525757,0.15881996103657112,10.499478157571408,0.1511122565716505,0.15957465262693843,True,294912,294912,48791552,48922624,48922624,fits_by_lifetime_peak,4096.0,2928.0,2992.0,0.0,10240,0,True
115,branch,131072,check,128,0,0,0,1.0,10.947832837700844,10.03270897681698,-8.358949889447238,13.165351771749554,10.081379322685079,True,9437184,9437184,67059712,70451200,70451200,fits_by_lifetime_peak,131072.0,3099136.0,3101184.0,0.0,5996544,0,True
116,keys,4096,fit,0,0,4,0,1.0,0.1357079017907381,0.12908971270379685,-4.876789781295505,0.15291245654225347,0.13023188670930527,True,164160,163840,48660480,52117504,52117504,fits_by_lifetime_peak,4096.0,0.0,0.0,16.0,0,128,True
